Date,AAPL,CSCO,CVX,DIS,GE,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,PEP,PG,SPY,T,WMT,XOM
1996-11-26,112985600,60537600,1924200,14645717,3538200,124950400,4740400,7971900,7812400,8409800,7204790,108238400,8608900,5274000,2861800,3120668,22363800,9289600
1996-11-27,89040000,46224900,1916000,6794932,2681600,85092800,2525000,7726800,3441400,3765400,3920568,44446400,4361100,3356400,872000,2112839,14381400,6893200
1996-11-29,42291200,10527300,644200,2018348,1213161,19584800,1181800,2626800,1468400,1865600,1501784,17152000,2481300,1353600,1073400,456515,4900800,2128800
1996-12-02,174977600,46579500,2081600,5193208,2374491,62268000,2584800,5044500,4731200,2974800,2614131,64502400,3898700,3645200,1350600,2298729,12859800,3884400
1996-12-03,275531200,57721500,2516000,4010542,3717983,75824000,3329400,7299000,6703000,5025000,4454000,77563200,4677000,3947600,1777800,3006010,21322200,6394000
1996-12-04,190825600,104238900,2518600,4855955,7555905,97301600,4585800,8010000,8298000,3766800,7097056,102542400,4888800,7307200,2365100,2298464,19540800,6400800
1996-12-05,142139200,77749200,3015600,3351850,4341340,82200800,3542800,7961700,7557800,4049400,4741990,74950400,4540700,6096400,1697700,1441836,19716000,5216400
1996-12-06,229387200,84043800,2886200,4472174,5692218,104533600,4534200,13006500,9673800,4058200,7944050,110238400,5061000,4906800,3401800,2016982,17256000,6097600
1996-12-09,158648000,50112900,2544000,3717081,2923857,59799200,2454200,4752300,5609200,3869400,3933354,94718400,3080700,4160800,1864600,2538108,21222000,5668000
1996-12-10,184284800,41574600,2304000,3113431,3636980,86302400,2540000,3741300,3946400,3834800,2546640,125725600,3722500,3272800,1331600,1438923,18518400,4365600
1996-12-11,163363200,70680600,2492800,5182261,5797384,168052000,3690400,6394500,6994400,3413200,3906944,113558400,5811600,3964800,1847900,1722259,16702200,8256400
1996-12-12,87001600,46829700,3138400,5249468,5053462,151984800,3920800,9866700,6523800,5975000,4645574,78272800,3786400,6031600,2540200,2479058,22351200,8872000
1996-12-13,89096000,54043200,2702800,5324886,4680124,125048800,6176200,10651500,8650800,4154200,6771757,74532000,4622900,4900000,1678300,2164210,19109400,7254800
1996-12-16,149240000,41433300,2927000,3537658,3638608,118759200,5080600,5031000,6619400,2541000,3948654,64883200,4469700,3827200,1831100,3719381,25064400,9263600
1996-12-17,157248000,77564700,2118600,6039230,5750185,119589600,7168400,6580500,7282400,3474200,5454630,68944800,4682600,4152800,2023200,3069297,32080200,6235200
1996-12-18,205072000,57981600,1604800,4245616,3544835,85812000,5272400,5090400,4048400,2468800,5952430,61796800,3139000,3104000,1666800,2527781,23100000,6140000
1996-12-19,136886400,57612600,4335000,3684845,5282072,89845600,3773600,6786300,10365800,4240200,7936923,94609600,5023400,5052800,2269300,1241912,28932000,7073600
1996-12-20,546436800,73972800,4710200,9672985,8439422,107156000,10639400,7344600,22801800,6885200,12259923,90414400,6998400,9430400,1543200,5935492,48228000,16874800
1996-12-23,332304000,29162700,1238000,2471769,2623508,57603200,3459600,4106700,5012400,3426200,3295122,36892800,2248200,2928400,1263700,1335386,17151600,5388400
1996-12-24,57612800,16137000,700000,1151951,1126525,34854400,1444800,2227200,2368200,1703600,1652906,16246400,961000,1224000,633000,1408206,5433600,2151200
1996-12-26,84884800,25933500,1218800,1777192,1770915,49676800,2643200,3747300,3834400,2062200,3622517,27905600,1610200,2596400,1384300,2038695,13882800,4261200
1996-12-27,136998400,21191400,759800,1449671,1874704,33370400,1777400,2519100,3794000,1909600,2171456,19079200,1845700,2331200,410400,2494151,10195200,2586800
1996-12-30,261800000,25242300,1563600,2878054,1931668,45784000,2894200,2904300,2991000,2328000,4517090,27279200,3377600,2364400,694100,2298199,12208800,4198000
1996-12-31,383745600,24205500,3319200,2718398,3572629,51322400,2550800,5710800,4135400,2202200,4562573,34367200,2716800,2420400,1378100,2196781,18734400,6303200
1997-01-02,143113600,54883800,4101200,8112924,5699855,97639200,4192000,10503600,7161800,2878800,5675758,54480800,4237700,5065200,2031900,3173363,22344600,9245200
1997-01-03,119716800,45387000,2482600,4648555,3750409,95648000,2994200,7268100,5312000,3123600,4621470,44131200,2795500,3741200,2123200,2714730,16846200,7051200
1997-01-06,1882832000,60080400,2076400,3622200,3864714,120549600,4661600,5219100,6259600,4390200,7512693,55948000,5361400,5544000,1374100,2530958,28442400,7102000
1997-01-07,976931200,49252500,2685200,3605170,3078100,96153600,3805200,5855400,7325400,6976600,5039832,36880800,4311600,3578800,939000,4540526,41604600,9213200
1997-01-08,1100131200,50837400,2279800,3224430,2968302,125510400,4096200,9190800,5712000,7547600,4884728,50593600,3346800,5900800,1802200,2436160,26751000,6920400
1997-01-09,446656000,40568400,3611000,4605068,3564115,77420000,3908800,7713600,5715000,4035600,4781395,47763200,4212900,5144000,1415700,2899295,22837200,10827200
1997-01-10,353718400,61881300,4042800,5277141,3882367,111907200,5677600,7047000,6061600,6064000,4122413,66556800,5606200,5516000,2369500,4259838,21597000,11054000
1997-01-13,305748800,75290400,2379400,4651901,3477980,116600000,5255600,7021500,4327400,4479000,3834632,50361600,3874100,3926400,1364600,4456584,15412200,9358800
1997-01-14,255774400,78270300,2586000,4758946,4297771,113872800,4860000,9700500,7006000,6270600,5602608,63728000,3561100,3406400,2111200,4639561,34357800,7098400
1997-01-15,433092800,65558700,2678400,5411860,3373064,227419200,6654200,7870500,9699000,5874400,4064982,53058400,3739000,3526400,1583900,3715409,22998000,9226800
1997-01-16,671305600,43832700,2582400,4508363,3840050,133381600,5667600,6783900,6928200,6359200,6318392,58688000,5840300,4548800,1308400,2307467,23649000,6857600
1997-01-17,325147200,46701000,2985200,5572428,4109349,97962400,9774000,5834100,11371200,9051600,7394478,65368800,6340000,4350400,1604000,2165005,36319800,9993600
1997-01-20,291625600,46481400,2000400,4458186,3127928,58668800,5235000,4806000,7465600,5071400,5259493,146220800,6673200,3619600,1889900,1820765,15415200,5023600
1997-01-21,284827200,43734600,2246000,4986721,4694271,64573600,9890600,7785600,10445800,7427200,5223022,114592000,5959200,3143600,2785800,3033549,32606400,7596000
1997-01-22,205620800,46845900,2735400,5204460,3599797,88490400,13235000,10315500,6367200,9357400,5070434,129236800,4539600,4399600,1201600,3665891,24020400,9370000
1997-01-23,172345600,53573400,2440800,8145464,3533567,99123200,6164000,9521700,6414200,12196000,7387142,105048000,30608400,3856400,2601100,4431163,45328800,7541200
1997-01-24,188283200,121515300,2495200,4666498,5340664,114352000,6130400,9281700,10216000,5609600,6127027,89817600,15491900,4089200,2176000,3630938,21086400,9476000
