Date,AAPL,JPM,MSFT
1991-11-19,285488000,5054700,71976000
1991-11-20,168100800,2298300,36441600
1991-11-21,106814400,1549200,35558400
1991-11-22,97843200,1786800,38102400
1991-11-25,78433600,1518600,33724800
1991-11-26,139272000,1877100,58809600
1991-11-27,63235200,1107600,15009600
1991-11-29,34092800,369600,20524800
1991-12-02,118899200,1473000,55852800
1991-12-03,102860800,1723500,64996800
1991-12-04,80550400,1985100,36297600
1991-12-05,99198400,3361800,24892800
1991-12-06,196985600,3322500,51580800
1991-12-09,97832000,2984400,57720000
1991-12-10,122617600,1659900,46252800
1991-12-11,84560000,3862500,39134400
1991-12-12,91750400,2933400,36979200
1991-12-13,95121600,3121500,26193600
1991-12-16,77190400,1180200,27225600
1991-12-17,97843200,1084200,27480000
1991-12-18,186603200,1545900,33561600
1991-12-19,115326400,1151400,38116800
1991-12-20,128184000,2059200,35356800
1991-12-23,103163200,1785000,46113600
1991-12-24,188563200,1607100,23995200
1991-12-26,134500800,1227600,24326400
1991-12-27,167742400,2744400,36657600
1991-12-30,183646400,2434800,35524800
1991-12-31,134030400,4464000,40512000
1992-01-02,233632000,4324800,74265600
1992-01-03,190254400,4539900,38246400
1992-01-06,114240000,3015900,63057600
1992-01-07,141467200,3713400,64363200
1992-01-08,232747200,4961700,90763200
1992-01-09,208510400,6048300,88348800
1992-01-10,196224000,9599400,64641600
1992-01-13,107856000,3025500,52804800
1992-01-14,273806400,3663600,44006400
1992-01-15,325740800,8030700,65294400
1992-01-16,293529600,5595000,58761600
1992-01-17,848355200,3268200,85027200
1992-01-20,209664000,2588400,58862400
1992-01-21,194084800,4138800,120019200
1992-01-22,183680000,32742000,56131200
1992-01-23,138353600,11320800,75590400
1992-01-24,177609600,8689200,37756800
1992-01-27,83451200,7053300,46233600
1992-01-28,173723200,5907600,95539200
1992-01-29,144558400,7375500,97344000
1992-01-30,87113600,2984700,41923200
1992-01-31,144558400,3478800,49948800
1992-02-03,158132800,2772300,80265600
1992-02-04,192931200,5485200,58440000
1992-02-05,161504000,5142900,71212800
1992-02-06,93139200,5051700,62356800
1992-02-07,147537600,5868000,36499200
1992-02-10,86441600,7356300,41371200
1992-02-11,122012800,9260400,41078400
1992-02-12,137961600,5765400,83342400
1992-02-13,76014400,4781100,97358400
1992-02-14,72587200,3196500,82632000
1992-02-18,68353600,4693200,73694400
1992-02-19,95670400,4288200,145372800
1992-02-20,130860800,3012300,74323200
1992-02-21,151580800,5331300,91118400
1992-02-24,171404800,4579500,59049600
1992-02-25,227214400,4043400,57388800
1992-02-26,229084800,4650900,100670400
1992-02-27,122169600,3431700,79579200
1992-02-28,90395200,2998200,58276800
1992-03-02,89252800,4319400,34876800
1992-03-03,99276800,2363100,27734400
1992-03-04,115371200,3682200,33086400
1992-03-05,236723200,6107400,55689600
1992-03-06,134288000,4411200,61867200
1992-03-09,108942400,2289000,30427200
1992-03-10,122696000,3104700,45480000
1992-03-11,131656000,2337300,39532800
1992-03-12,152902400,2904900,50025600
1992-03-13,79184000,3009000,36763200
1992-03-16,56291200,2480700,55132800
1992-03-17,85097600,2604900,94473600
1992-03-18,81032000,2616000,69230400
1992-03-19,118518400,3318600,111576000
1992-03-20,54163200,6438600,35774400
1992-03-23,50075200,3755700,37843200
1992-03-24,209417600,2148900,70228800
1992-03-25,121553600,1988700,36739200
1992-03-26,123020800,2518800,60403200
1992-03-27,264532800,4706100,89971200
1992-03-30,339035200,3924300,40713600
1992-03-31,212632000,3634200,86702400
1992-04-01,159656000,3078000,74203200
1992-04-02,133974400,3229200,56918400
1992-04-03,116457600,3590400,59534400
1992-04-06,101987200,2305500,40123200
1992-04-07,230216000,2465700,72758400
1992-04-08,367024000,8994300,105388800
1992-04-09,192136000,5779800,70008000
1992-04-10,274064000,4257600,126446400
1992-04-13,122830400,2172300,45552000
1992-04-14,144401600,5577600,72806400
1992-04-15,217358400,4042200,223305600
1992-04-16,258686400,2577000,66393600
1992-04-20,206046400,3353100,226118400
1992-04-21,180364800,6610500,99244800
1992-04-22,171528000,9824100,61790400
1992-04-23,182817600,4552200,115334400
1992-04-24,98280000,4398900,90393600
1992-04-27,140268800,3852000,99585600
1992-04-28,174126400,2805000,199876800
1992-04-29,198900800,1939200,137308800
1992-04-30,260265600,1532700,95870400
1992-05-01,134377600,3054600,62083200
1992-05-04,123233600,3795300,73920000
1992-05-05,180084800,4124100,59246400
1992-05-06,177990400,5727000,50016000
1992-05-07,172356800,2880900,40579200
1992-05-08,198699200,2727600,59822400
1992-05-11,90899200,2514300,41112000
1992-05-12,77044800,2541000,49905600
1992-05-13,97473600,3651000,64320000
1992-05-14,156923200,2055900,72307200
1992-05-15,121307200,4722300,40814400
1992-05-18,129091200,2754300,37526400
1992-05-19,131678400,3066600,51240000
1992-05-20,173208000,2037000,58800000
1992-05-21,137692800,2073600,48566400
1992-05-22,46468800,1571400,36969600
1992-05-26,95614400,2947200,38217600
1992-05-27,154089600,1139400,31166400
1992-05-28,127243200,2670900,62702400
1992-05-29,178248000,3016500,89918400
1992-06-01,248046400,1858200,68529600
1992-06-02,155680000,2858400,42585600
1992-06-03,300574400,2423400,28190400
1992-06-04,180152000,3156300,41755200
1992-06-05,112728000,2965500,40939200
1992-06-08,104339200,1724400,40228800
1992-06-09,101281600,2250900,84604800
1992-06-10,126604800,2978700,65457600
1992-06-11,140515200,3517800,130732800
1992-06-12,96510400,2205000,138028800
1992-06-15,189190400,1567500,54940800
1992-06-16,365355200,2126400,57376000
1992-06-17,304248000,3775200,70032000
1992-06-18,433720000,3440400,53356800
1992-06-19,427436800,2371200,43110400
1992-06-22,389939200,2687400,54080000
1992-06-23,311550400,3344100,57420800
1992-06-24,211064000,2107500,34096000
1992-06-25,160608000,3827100,165340800
1992-06-26,110364800,3516300,140982400
1992-06-29,188428800,2130600,90963200
1992-06-30,193345600,2640900,74048000
1992-07-01,143528000,3799800,45136000
1992-07-02,256648000,5421000,80563200
1992-07-06,122001600,2117700,36224000
1992-07-07,207088000,2243100,54396800
1992-07-08,195955200,2555100,93417600
1992-07-09,165793600,2580900,61174400
1992-07-10,143796800,4108200,28905600
1992-07-13,125563200,3168600,35113600
1992-07-14,125988800,2701200,41116800
1992-07-15,174462400,3112200,80172800
1992-07-16,139798400,5541900,42291200
1992-07-17,423640000,4506300,59865600
1992-07-20,192124800,3087300,48707200
1992-07-21,131947200,8049900,45907200
1992-07-22,161974400,5917200,59008000
1992-07-23,171516800,7715700,68441600
1992-07-24,134971200,5454900,76259200
1992-07-27,2396800,2184900,30512000
1992-07-28,134243200,2435700,45363200
1992-07-29,250768000,4269900,145273600
1992-07-30,137894400,2259000,32035200
1992-07-31,90708800,1480800,35312000
1992-08-03,68544000,1568100,31516800
1992-08-04,119716800,2272200,31430400
1992-08-05,139260800,2835600,60150400
1992-08-06,257969600,1944000,3705600
1992-08-07,219161600,2529600,55008000
1992-08-10,91448000,3586800,42067200
1992-08-11,121307200,2528100,33436800
1992-08-12,121385600,1489800,30441600
1992-08-13,170990400,1638000,28227200
1992-08-14,136102400,2456100,33942400
1992-08-17,128710400,1021200,63318400
1992-08-18,112313600,1378200,66313600
1992-08-19,170542400,6402900,27433600
1992-08-20,108908800,5583900,36534400
1992-08-21,109468800,3111600,52710400
1992-08-24,152174400,3476100,42800000
1992-08-25,132361600,5002200,37123200
1992-08-26,121060800,2692800,50016000
1992-08-27,82745600,3351900,88028800
1992-08-28,61241600,1496400,49468800
1992-08-31,121116800,2010600,25651200
1992-09-01,60289600,2722800,30825600
1992-09-02,189896000,1665000,61955200
1992-09-03,211859200,1891200,85296000
1992-09-04,63235200,1717200,28585600
1992-09-08,70000000,3765600,49376000
1992-09-09,157203200,6751800,60982400
1992-09-10,228177600,9955800,53302400
1992-09-11,179883200,4414500,30796800
1992-09-14,214681600,7691400,95100800
1992-09-15,218523200,3971100,44614400
1992-09-16,178718400,3037800,35708800
1992-09-17,172435200,2334600,23590400
1992-09-18,115606400,4375800,71683200
1992-09-21,89678400,4668900,31811200
1992-09-22,111540800,3981300,30777600
1992-09-23,123972800,3431400,37654400
1992-09-24,125652800,2501700,36953600
1992-09-25,137468800,3804000,41817600
1992-09-28,149520000,3745800,52854400
1992-09-29,157270400,2473800,39392000
1992-09-30,100049600,2114100,59843200
1992-10-01,122729600,2355000,47804800
1992-10-02,113545600,1987800,36803200
1992-10-05,264958400,2048700,71347200
1992-10-06,113444800,3438300,74316800
1992-10-07,113310400,1288200,58153600
1992-10-08,126974400,1691100,59532800
1992-10-09,58744000,1744500,40182400
1992-10-12,71635200,902400,34700800
1992-10-13,147179200,1623900,86643200
1992-10-14,95726400,1263300,47456000
1992-10-15,75420800,1014600,35942400
1992-10-16,451348800,1275000,47644800
1992-10-19,196044800,3991800,83280000
1992-10-20,287246400,4371300,84150400
1992-10-21,114251200,1538400,60396800
1992-10-22,84470400,2039700,49174400
1992-10-23,91425600,1798800,46006400
1992-10-26,250689600,2709900,40121600
1992-10-27,211960000,2229300,49116800
1992-10-28,196593600,1080900,36172800
1992-10-29,213897600,1008600,32774400
1992-10-30,129830400,789300,24998400
1992-11-02,170094400,2822400,31091200
1992-11-03,112750400,2730000,35267200
1992-11-04,141960000,990600,23657600
1992-11-05,298054400,1284600,90361600
1992-11-06,263972800,2049900,61155200
1992-11-09,112929600,2324400,54796800
1992-11-10,122225600,2043600,38710400
1992-11-11,140425600,2281500,60748800
1992-11-12,107598400,3578100,46960000
1992-11-13,84750400,3259200,25811200
1992-11-16,67547200,1588200,19312000
1992-11-17,168806400,841200,56649600
1992-11-18,304808000,1072500,33273600
1992-11-19,240542400,1666500,46857600
1992-11-20,155489600,2690100,41113600
1992-11-23,152723200,2524800,309884800
1992-11-24,156822400,1803600,145513600
1992-11-25,117342400,2155800,53152000
1992-11-27,47196800,881400,17593600
1992-11-30,160507200,2239800,35251200
1992-12-01,130144000,2190900,33593600
1992-12-02,97776000,1766400,49881600
1992-12-03,187588800,520500,26048000
1992-12-04,95782400,1044900,23548800
1992-12-07,144222400,784500,46422400
1992-12-08,196638400,960600,26908800
1992-12-09,159409600,1444500,26048000
1992-12-10,140190400,2490300,89296000
1992-12-11,120187200,1856700,112934400
1992-12-14,110510400,1301100,51286400
1992-12-15,182537600,1244400,45289600
1992-12-16,225926400,2076000,73792000
1992-12-17,233867200,1361400,51859200
1992-12-18,235457600,3174600,74387200
1992-12-21,256065600,2489700,64928000
1992-12-22,280168000,3776100,56928000
1992-12-23,112336000,2129400,59974400
1992-12-24,45964800,911700,32723200
1992-12-28,70448000,1353300,45731200
1992-12-29,116278400,3051000,60035200
1992-12-30,100587200,1597200,50860800
1992-12-31,92232000,1196100,30851200
1993-01-04,129136000,1710900,72646400
1993-01-05,186256000,3233700,71529600
1993-01-06,281400000,2238600,87440000
1993-01-07,272137600,4186800,58748800
1993-01-08,320936000,2413200,43977600
1993-01-11,273728000,2197500,58348800
1993-01-12,346158400,3238200,85129600
1993-01-13,199640000,3203100,83696000
1993-01-14,367808000,5953500,121264000
1993-01-15,902630400,3752400,181958400
1993-01-18,333636800,2661000,50611200
1993-01-19,274041600,9706200,52960000
1993-01-20,158737600,8171400,47968000
1993-01-21,184419200,5445600,73363200
1993-01-22,146944000,2596200,49088000
1993-01-25,202272000,1448100,49609600
1993-01-26,285622400,3066000,42345600
1993-01-27,226620800,6870900,64192000
1993-01-28,184038400,4331400,77030400
1993-01-29,266100800,1787400,39424000
1993-02-01,240553600,2808600,42854400
1993-02-02,182336000,1596300,70371200
1993-02-03,264185600,2324100,71728000
1993-02-04,208152000,3925500,124214400
1993-02-05,367617600,5154300,177216000
1993-02-08,281075200,1293300,92665600
1993-02-09,238660800,2384700,64550400
1993-02-10,268284800,2068800,39193600
1993-02-11,168268800,2583900,31635200
1993-02-12,275396800,2259300,34752000
1993-02-16,407736000,4684800,91180800
1993-02-17,249580800,4813200,121913600
1993-02-18,280123200,3295500,138553600
1993-02-19,177800000,3911400,97094400
1993-02-22,98761600,2483100,76256000
1993-02-23,194073600,3613200,105974400
1993-02-24,286563200,2629200,77548800
1993-02-25,167227200,1738800,60806400
1993-02-26,294884800,14774700,29833600
1993-03-01,119302400,2642700,26432000
1993-03-02,147694400,2373000,38380800
1993-03-03,202697600,3356100,42352000
1993-03-04,188339200,2063400,56659200
1993-03-05,111619200,2584500,35724800
1993-03-08,177004800,2325600,48022400
1993-03-09,154828800,3868200,41312000
1993-03-10,132496000,3933600,26592000
1993-03-11,144614400,2558400,57779200
1993-03-12,126694400,2475900,73580800
1993-03-15,136035200,2089800,35347200
1993-03-16,101281600,3325800,36336000
1993-03-17,176220800,4476900,39644800
1993-03-18,106187200,3229200,34406400
1993-03-19,154100800,3954000,45404800
1993-03-22,165200000,2697900,34083200
1993-03-23,102536000,2721300,34409600
1993-03-24,143068800,5088900,50576000
1993-03-25,171046400,3733800,43833600
1993-03-26,151760000,4185600,28380800
1993-03-29,261710400,2197200,48262400
1993-03-30,264051200,1614300,140777600
1993-03-31,223036800,1911300,179660800
1993-04-01,108203200,2150400,100412800
1993-04-02,253792000,3041100,73251200
1993-04-05,149172800,4099200,61187200
1993-04-06,168369600,1578900,55699200
1993-04-07,162848000,5876100,39417600
1993-04-08,163430400,3199800,40185600
1993-04-12,93049600,3509400,48976000
1993-04-13,164483200,5934300,53337600
1993-04-14,170060800,2251500,38592000
1993-04-15,218702400,3673500,109152000
1993-04-16,686795200,2700300,49600000
1993-04-19,227864000,1783500,45673600
1993-04-20,240049600,6395400,46009600
1993-04-21,205273600,7251600,92528000
1993-04-22,157673600,7834200,79872000
1993-04-23,134142400,5907300,89296000
1993-04-26,102804800,7616100,65376000
1993-04-27,129673600,5255400,58208000
1993-04-28,163240000,3144900,55372800
1993-04-29,82443200,1850400,49660800
1993-04-30,132339200,2343600,46825600
1993-05-03,65184000,2199300,38096000
1993-05-04,170822400,2719200,49664000
1993-05-05,253064000,5046300,51868800
